Country,Code,Year,Surface area
Afghanistan,AFG,2018,652860
Albania,ALB,2018,28750
Algeria,DZA,2018,2381741
American Samoa,ASM,2018,200
Andorra,AND,2018,470
Angola,AGO,2018,1246700
Antigua and Barbuda,ATG,2018,440
Argentina,ARG,2018,2780400
Armenia,ARM,2018,29740
Aruba,ABW,2018,180
Australia,AUS,2018,7741220
Austria,AUT,2018,83879
Azerbaijan,AZE,2018,86600
"Bahamas, The",BHS,2018,13880
Bahrain,BHR,2018,780
Bangladesh,BGD,2018,147570
Barbados,BRB,2018,430
Belarus,BLR,2018,207600
Belgium,BEL,2018,30530
Belize,BLZ,2018,22970
Benin,BEN,2018,114760
Bermuda,BMU,2018,4290
Bhutan,BTN,2018,38390
Bolivia,BOL,2018,1098580
Bosnia and Herzegovina,BIH,2018,51210
Botswana,BWA,2018,581730
Brazil,BRA,2018,8515770
British Virgin Islands,VGB,2018,150
Brunei Darussalam,BRN,2018,5770
Bulgaria,BGR,2018,111000
Burkina Faso,BFA,2018,274220
Burundi,BDI,2018,27830
Cabo Verde,CPV,2018,4030
Cambodia,KHM,2018,181040
Cameroon,CMR,2018,475440
Canada,CAN,2018,9879750
Cayman Islands,CYM,2018,264
Central African Republic,CAF,2018,622980
Chad,TCD,2018,1284000
Channel Islands,CHI,2018,198
Chile,CHL,2018,756700
China,CHN,2018,9600012.9
Colombia,COL,2018,1141750
Comoros,COM,2018,1861
"Congo, Dem. Rep.",COD,2018,2344860
"Congo, Rep.",COG,2018,342000
Costa Rica,CRI,2018,51100
Cote d'Ivoire,CIV,2018,322460
Croatia,HRV,2018,88070
Cuba,CUB,2018,109880
Curacao,CUW,2018,444
Cyprus,CYP,2018,9250
Czech Republic,CZE,2018,78870
Denmark,DNK,2018,42920
Djibouti,DJI,2018,23200
Dominica,DMA,2018,750
Dominican Republic,DOM,2018,48670
Ecuador,ECU,2018,256370
"Egypt, Arab Rep.",EGY,2018,1001450
El Salvador,SLV,2018,21040
Equatorial Guinea,GNQ,2018,28050
Eritrea,ERI,2018,117600
Estonia,EST,2018,45340
Eswatini,SWZ,2018,17360
Ethiopia,ETH,2018,1136259.41
Faroe Islands,FRO,2018,1396
Fiji,FJI,2018,18270
Finland,FIN,2018,338450
France,FRA,2018,549087
French Polynesia,PYF,2018,4000
Gabon,GAB,2018,267670
"Gambia, The",GMB,2018,11300
Georgia,GEO,2018,69700
Germany,DEU,2018,357580
Ghana,GHA,2018,238540
Gibraltar,GIB,2018,10
Greece,GRC,2018,131960
Greenland,GRL,2018,410450
Grenada,GRD,2018,340
Guam,GUM,2018,540
Guatemala,GTM,2018,108890
Guinea,GIN,2018,245860
Guinea-Bissau,GNB,2018,36130
Guyana,GUY,2018,214970
Haiti,HTI,2018,27750
Honduras,HND,2018,112490
"Hong Kong SAR, China",HKG,2018,1110
Hungary,HUN,2018,93030
Iceland,ISL,2018,103000
India,IND,2018,3287259
Indonesia,IDN,2018,1916862.2
"Iran, Islamic Rep.",IRN,2018,1745150
Iraq,IRQ,2018,435052
Ireland,IRL,2018,70280
Isle of Man,IMN,2018,570
Israel,ISR,2018,22070
Italy,ITA,2018,302070
Jamaica,JAM,2018,10990
Japan,JPN,2018,377974
Jordan,JOR,2018,89320
Kazakhstan,KAZ,2018,2724902
Kenya,KEN,2018,580370
Kiribati,KIR,2018,810
"Korea, Dem. People's Rep.",PRK,2018,120540
"Korea, Rep.",KOR,2018,100370
Kosovo,XKX,2018,
Kuwait,KWT,2018,17820
Kyrgyz Republic,KGZ,2018,199950
Lao PDR,LAO,2018,236800
Latvia,LVA,2018,64570
Lebanon,LBN,2018,10450
Lesotho,LSO,2018,30360
Liberia,LBR,2018,111370
Libya,LBY,2018,1759540
Liechtenstein,LIE,2018,160
Lithuania,LTU,2018,65290
Luxembourg,LUX,2018,2590
"Macao SAR, China",MAC,2018,32.9
Madagascar,MDG,2018,587295
Malawi,MWI,2018,118480
Malaysia,MYS,2018,330345
Maldives,MDV,2018,300
Mali,MLI,2018,1240190
Malta,MLT,2018,320
Marshall Islands,MHL,2018,180
Mauritania,MRT,2018,1030700
Mauritius,MUS,2018,2040
Mexico,MEX,2018,1964375
"Micronesia, Fed. Sts.",FSM,2018,700
Moldova,MDA,2018,33850
Monaco,MCO,2018,74.92
Mongolia,MNG,2018,1564116
Montenegro,MNE,2018,13810
Morocco,MAR,2018,446550
Mozambique,MOZ,2018,799380
Myanmar,MMR,2018,676590
Namibia,NAM,2018,824290
Nauru,NRU,2018,20
Nepal,NPL,2018,147180
Netherlands,NLD,2018,41540
New Caledonia,NCL,2018,18580
New Zealand,NZL,2018,267710
Nicaragua,NIC,2018,130370
Niger,NER,2018,1267000
Nigeria,NGA,2018,923770
North Macedonia,MKD,2018,25710
Northern Mariana Islands,MNP,2018,460
Norway,NOR,2018,625221.59
Oman,OMN,2018,309500
Pakistan,PAK,2018,796100
Palau,PLW,2018,460
Panama,PAN,2018,75320
Papua New Guinea,PNG,2018,462840
Paraguay,PRY,2018,406752
Peru,PER,2018,1285220
Philippines,PHL,2018,300000
Poland,POL,2018,312690
Portugal,PRT,2018,92225.6
Puerto Rico,PRI,2018,8870
Qatar,QAT,2018,11490
Romania,ROU,2018,238400
Russian Federation,RUS,2018,17098250
Rwanda,RWA,2018,26340
Samoa,WSM,2018,2840
San Marino,SMR,2018,60
Sao Tome and Principe,STP,2018,960
Saudi Arabia,SAU,2018,2149690
Senegal,SEN,2018,196710
Serbia,SRB,2018,88360
Seychelles,SYC,2018,460
Sierra Leone,SLE,2018,72300
Singapore,SGP,2018,719
Sint Maarten (Dutch part),SXM,2018,34
Slovak Republic,SVK,2018,49030
Slovenia,SVN,2018,20480
Solomon Islands,SLB,2018,28900
Somalia,SOM,2018,637660
South Africa,ZAF,2018,1219090
South Sudan,SSD,2018,633906.576
Spain,ESP,2018,505957.289
Sri Lanka,LKA,2018,65610
St. Kitts and Nevis,KNA,2018,260
St. Lucia,LCA,2018,620
St. Martin (French part),MAF,2018,50
St. Vincent and the Grenadines,VCT,2018,390
Sudan,SDN,2018,1854105.405
Suriname,SUR,2018,163820
Sweden,SWE,2018,447430
Switzerland,CHE,2018,41290.39
Syrian Arab Republic,SYR,2018,185180
Tajikistan,TJK,2018,141380
Tanzania,TZA,2018,947300
Thailand,THA,2018,513120
Timor-Leste,TLS,2018,14870
Togo,TGO,2018,56790
Tonga,TON,2018,750
Trinidad and Tobago,TTO,2018,5130
Tunisia,TUN,2018,163610
Turkey,TUR,2018,785350
Turkmenistan,TKM,2018,488100
Turks and Caicos Islands,TCA,2018,950
Tuvalu,TUV,2018,30
Uganda,UGA,2018,241550
Ukraine,UKR,2018,603550
United Arab Emirates,ARE,2018,98647.9
United Kingdom,GBR,2018,243610
United States,USA,2018,9831510
Uruguay,URY,2018,176220
Uzbekistan,UZB,2018,448924
Vanuatu,VUT,2018,12190
"Venezuela, RB",VEN,2018,912050
Vietnam,VNM,2018,331230
Virgin Islands (U.S.),VIR,2018,350
West Bank and Gaza,PSE,2018,6020
"Yemen, Rep.",YEM,2018,527970
Zambia,ZMB,2018,752610
Zimbabwe,ZWE,2018,390760